epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.3641,4.168,4.59101,3.17928,0,0,0,0,5.31314,5.77978,4.02785,0,0,0
2,117.723,4.31431,4.60974,3.45675,0,0,0,0,5.19218,5.69792,3.9607,1.1e-05,1.1e-05,1.1e-05
3,136.427,4.57033,4.69865,3.53602,0,0,0,0,4.932,5.49312,3.73193,2.178e-05,2.178e-05,2.178e-05
4,155.464,4.11941,4.65531,2.95192,0,0,0,0,4.78808,5.35708,3.59587,3.23401e-05,3.23401e-05,3.23401e-05
5,176.066,4.29552,4.63681,3.42224,0,0,0,0,4.56184,5.18101,3.37582,4.26802e-05,4.26802e-05,4.26802e-05
6,190.361,3.58911,4.55577,2.56997,0,0,0,0,4.28258,5.00955,3.1211,5.28003e-05,5.28003e-05,5.28003e-05
7,211.544,4.03825,4.51684,2.88493,0,0,0,0,3.96141,4.86303,2.85247,6.27004e-05,6.27004e-05,6.27004e-05
8,225.681,3.9099,4.44544,2.74382,0,0,0,0,3.53842,4.7605,2.56596,7.23805e-05,7.23805e-05,7.23805e-05
9,245.057,3.78377,4.36084,2.58893,0,0,0,0,3.37041,4.67795,2.4515,8.18407e-05,8.18407e-05,8.18407e-05
10,284.645,3.30971,4.38017,2.2514,0,0,0,0,3.55439,4.5913,2.47611,9.10809e-05,9.10809e-05,9.10809e-05
11,293.749,3.10163,4.38439,2.14175,0,0,0,0,3.67674,4.5099,2.57244,0.000100101,0.000100101,0.000100101
12,301.335,2.89668,4.34081,2.07535,0.00058,0.0625,0.00161,0.00048,3.62598,4.43021,2.74156,0.000108901,0.000108901,0.000108901
13,311.526,3.23267,4.27417,2.13764,0.00113,0.125,0.00604,0.00142,3.66575,4.33436,2.92843,0.000117482,0.000117482,0.000117482
14,317.617,2.88072,4.2766,1.9346,0.00109,0.125,0.01059,0.00239,3.73052,4.33547,3.17256,0.000125842,0.000125842,0.000125842
15,324.151,2.97531,4.10763,1.96058,0.00108,0.125,0.00765,0.00171,3.45172,4.33967,3.25441,0.000133982,0.000133982,0.000133982
16,330.138,3.15586,4.06101,1.96949,0.00105,0.125,0.00553,0.00126,3.2863,4.35596,3.29652,0.000141902,0.000141902,0.000141902
17,336.412,2.74819,3.95826,1.90417,0.00102,0.125,0.00677,0.00208,3.081,4.31365,3.17217,0.000149603,0.000149603,0.000149603
18,344.5,2.74334,3.86771,1.78944,0.00102,0.125,0.00677,0.00208,3.081,4.31365,3.17217,0.000157083,0.000157083,0.000157083
19,351.198,2.92676,3.90313,1.81354,0.001,0.125,0.02276,0.01079,3.03267,4.22193,2.91139,0.000164344,0.000164344,0.000164344
20,356.948,2.60913,3.80519,1.7192,0.001,0.125,0.02276,0.01079,3.03267,4.22193,2.91139,0.000171384,0.000171384,0.000171384
21,362.507,2.50319,3.84308,1.7826,0.00099,0.125,0.05171,0.034,2.89786,4.12065,2.64467,0.000178204,0.000178204,0.000178204
22,368.817,2.5884,3.79042,1.7497,0.00099,0.125,0.05171,0.034,2.89786,4.12065,2.64467,0.000184805,0.000184805,0.000184805
23,376.144,2.56299,3.69577,1.68676,0.03173,0.17105,0.12767,0.07336,2.67914,4.09324,2.42595,0.000191185,0.000191185,0.000191185
24,384.019,2.57163,3.64012,1.73141,0.03173,0.17105,0.12767,0.07336,2.67914,4.09324,2.42595,0.000197346,0.000197346,0.000197346
25,391.166,2.57787,3.63147,1.65695,0.01583,0.17763,0.11573,0.06714,2.55693,4.07636,2.28603,0.000203286,0.000203286,0.000203286
26,398.043,2.30451,3.55195,1.63348,0.01583,0.17763,0.11573,0.06714,2.55693,4.07636,2.28603,0.000209007,0.000209007,0.000209007
27,407.86,2.45003,3.61929,1.62627,0.00951,0.16447,0.09861,0.04473,2.76652,4.09096,2.22985,0.000214507,0.000214507,0.000214507
28,413.871,2.32688,3.56306,1.63576,0.00951,0.16447,0.09861,0.04473,2.76652,4.09096,2.22985,0.000219788,0.000219788,0.000219788
29,420.17,2.34372,3.44003,1.61796,0.00874,0.16447,0.09097,0.02819,2.65158,4.11196,2.16966,0.000224849,0.000224849,0.000224849
30,426.637,2.4822,3.44145,1.60005,0.00874,0.16447,0.09097,0.02819,2.65158,4.11196,2.16966,0.000229689,0.000229689,0.000229689
31,433.474,2.31261,3.36476,1.60866,0.01129,0.17763,0.09935,0.03915,2.46224,4.12453,1.98574,0.00023431,0.00023431,0.00023431
32,439.541,2.26312,3.32009,1.59097,0.01129,0.17763,0.09935,0.03915,2.46224,4.12453,1.98574,0.000238711,0.000238711,0.000238711
33,446.822,2.2776,3.38244,1.55482,0.01586,0.19079,0.10295,0.04982,2.33736,4.11239,1.86384,0.000242891,0.000242891,0.000242891
34,452.537,2.2614,3.20173,1.57692,0.01586,0.19079,0.10295,0.04982,2.33736,4.11239,1.86384,0.000246852,0.000246852,0.000246852
35,458.062,2.21956,3.27029,1.57689,0.01727,0.19737,0.10456,0.052,2.27247,4.08586,1.76591,0.000250593,0.000250593,0.000250593
36,465.644,2.0312,3.1355,1.5595,0.01727,0.19737,0.10456,0.052,2.27247,4.08586,1.76591,0.000254113,0.000254113,0.000254113
37,473.678,2.23127,3.04603,1.53073,0.0179,0.20395,0.07621,0.03709,2.38513,4.04233,1.73354,0.000257414,0.000257414,0.000257414
38,480.802,2.04628,3.00217,1.57141,0.0179,0.20395,0.07621,0.03709,2.38513,4.04233,1.73354,0.000260495,0.000260495,0.000260495
39,488.418,2.15867,3.0101,1.51409,0.0167,0.20395,0.07649,0.04296,2.44491,3.95045,1.68376,0.000263356,0.000263356,0.000263356
40,495.381,2.2053,2.94456,1.41363,0.0167,0.20395,0.07649,0.04296,2.44491,3.95045,1.68376,0.000265997,0.000265997,0.000265997
41,506.761,1.99424,2.88099,1.50122,0.01627,0.20395,0.06493,0.03993,2.45072,3.85634,1.65371,0.000268418,0.000268418,0.000268418
42,515.239,1.97239,2.91165,1.53052,0.01627,0.20395,0.06493,0.03993,2.45072,3.85634,1.65371,0.000270618,0.000270618,0.000270618
43,535.434,2.0108,2.85801,1.45746,0.01883,0.22368,0.06035,0.04024,2.31015,3.7822,1.6296,0.000272599,0.000272599,0.000272599
44,543.926,1.95807,2.92055,1.48677,0.01883,0.22368,0.06035,0.04024,2.31015,3.7822,1.6296,0.00027436,0.00027436,0.00027436
45,552.523,1.94696,2.71323,1.53915,0.01908,0.23026,0.0707,0.04299,2.09637,3.69592,1.60231,0.000275901,0.000275901,0.000275901
46,560.993,1.82234,2.72373,1.51764,0.01908,0.23026,0.0707,0.04299,2.09637,3.69592,1.60231,0.000277222,0.000277222,0.000277222
47,574.477,1.97078,2.76254,1.47244,0.02118,0.30592,0.10883,0.05395,2.02723,3.59582,1.5791,0.000278323,0.000278323,0.000278323
48,594.719,2.00829,2.74509,1.46243,0.02118,0.30592,0.10883,0.05395,2.02723,3.59582,1.5791,0.000279204,0.000279204,0.000279204
49,620.022,1.96194,2.56302,1.49477,0.03056,0.17763,0.14368,0.08015,2.02381,3.48833,1.56277,0.000279865,0.000279865,0.000279865
50,633.95,2.23312,2.51116,1.39942,0.02191,0.32566,0.1161,0.06316,2.02381,3.48833,1.56277,0.000280306,0.000280306,0.000280306
51,645.202,2.07663,2.56541,1.47693,0.02407,0.40789,0.1202,0.08392,2.02324,3.39807,1.55897,0.000280527,0.000280527,0.000280527
