epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,655.905,1.99339,2.34073,1.44251,0.02407,0.40789,0.1202,0.08392,2.02324,3.39807,1.55897,0.000280529,0.000280529,0.000280529
53,664.073,2.17158,2.51078,1.45457,0.02407,0.40789,0.1202,0.08392,2.02324,3.39807,1.55897,0.00028031,0.00028031,0.00028031
54,675.74,1.98904,2.39013,1.43921,0.02515,0.42763,0.16764,0.12322,2.08264,3.32621,1.59772,0.000279871,0.000279871,0.000279871
55,695.434,1.85183,2.34165,1.46479,0.02515,0.42763,0.16764,0.12322,2.08264,3.32621,1.59772,0.000279212,0.000279212,0.000279212
56,707.454,2.0566,2.38335,1.42041,0.02515,0.42763,0.16764,0.12322,2.08264,3.32621,1.59772,0.000278333,0.000278333,0.000278333
57,721.99,1.98027,2.39087,1.43666,0.02636,0.45395,0.17897,0.13037,2.22192,3.24846,1.57644,0.000277234,0.000277234,0.000277234
58,729.985,1.96092,2.38791,1.42683,0.02636,0.45395,0.17897,0.13037,2.22192,3.24846,1.57644,0.000275916,0.000275916,0.000275916
59,756.336,1.8973,2.27579,1.39592,0.02636,0.45395,0.17897,0.13037,2.22192,3.24846,1.57644,0.000274377,0.000274377,0.000274377
60,782.906,1.9474,2.39431,1.46154,0.02727,0.49342,0.18297,0.13083,2.13659,3.1026,1.5264,0.000272618,0.000272618,0.000272618
61,799.92,1.80947,2.40416,1.42782,0.02727,0.49342,0.18297,0.13083,2.13659,3.1026,1.5264,0.00027064,0.00027064,0.00027064
62,825.099,1.86858,2.42381,1.3793,0.02727,0.49342,0.18297,0.13083,2.13659,3.1026,1.5264,0.000268441,0.000268441,0.000268441
63,844.755,1.89661,2.35464,1.36815,0.02654,0.5,0.28164,0.19567,1.97968,2.99933,1.49007,0.000266022,0.000266022,0.000266022
64,853.417,1.81941,2.42152,1.41591,0.02654,0.5,0.28164,0.19567,1.97968,2.99933,1.49007,0.000263384,0.000263384,0.000263384
65,870.126,1.82773,2.25952,1.43728,0.02654,0.5,0.28164,0.19567,1.97968,2.99933,1.49007,0.000260525,0.000260525,0.000260525
66,883.207,1.94599,2.36256,1.3753,0.0259,0.5,0.31315,0.18776,1.85447,2.94654,1.44856,0.000257446,0.000257446,0.000257446
67,892.011,1.86524,2.15937,1.41724,0.0259,0.5,0.31315,0.18776,1.85447,2.94654,1.44856,0.000254148,0.000254148,0.000254148
68,903.823,2.07552,2.23601,1.38074,0.0259,0.5,0.31315,0.18776,1.85447,2.94654,1.44856,0.000250629,0.000250629,0.000250629
69,915.243,1.96924,2.308,1.46456,0.66215,0.36857,0.31521,0.195,1.83687,2.88471,1.45578,0.000246891,0.000246891,0.000246891
70,923.553,1.72599,2.18712,1.43093,0.66215,0.36857,0.31521,0.195,1.83687,2.88471,1.45578,0.000242932,0.000242932,0.000242932
71,932.94,1.71428,2.12105,1.41708,0.66215,0.36857,0.31521,0.195,1.83687,2.88471,1.45578,0.000238754,0.000238754,0.000238754
72,944.341,1.94448,2.14997,1.43627,0.7221,0.30263,0.30128,0.19245,1.79994,2.84768,1.47869,0.000234355,0.000234355,0.000234355
73,957.148,1.75193,2.0635,1.38402,0.7221,0.30263,0.30128,0.19245,1.79994,2.84768,1.47869,0.000229737,0.000229737,0.000229737
74,967.237,1.84416,2.12046,1.40451,0.7221,0.30263,0.30128,0.19245,1.79994,2.84768,1.47869,0.000224899,0.000224899,0.000224899
75,980.533,1.80825,2.19263,1.38127,0.70812,0.13158,0.21522,0.14441,1.92451,2.88742,1.5298,0.00021984,0.00021984,0.00021984
76,995.509,1.75763,2.17329,1.39269,0.7352,0.19408,0.28775,0.19783,1.92451,2.88742,1.5298,0.000214562,0.000214562,0.000214562
77,1006.6,1.80893,2.13346,1.31551,0.7352,0.19408,0.28775,0.19783,1.92451,2.88742,1.5298,0.000209064,0.000209064,0.000209064
78,1032.41,1.74553,2.06932,1.46415,1,0.16316,0.2685,0.17794,1.98297,2.85682,1.57096,0.000203345,0.000203345,0.000203345
79,1057.41,1.95819,2.09891,1.39145,0.93668,0.1875,0.27803,0.20101,1.98297,2.85682,1.57096,0.000197407,0.000197407,0.000197407
80,1077.7,1.66292,1.98753,1.378,0.93668,0.1875,0.27803,0.20101,1.98297,2.85682,1.57096,0.000191249,0.000191249,0.000191249
81,1097.4,1.87973,2.12848,1.35156,0.95696,0.125,0.1834,0.12111,1.93963,2.84576,1.57163,0.00018487,0.00018487,0.00018487
82,1119.51,1.89633,2.02838,1.32915,0.90227,0.1875,0.26201,0.17938,1.93963,2.84576,1.57163,0.000178272,0.000178272,0.000178272
83,1134.06,1.74489,2.03032,1.43895,0.90227,0.1875,0.26201,0.17938,1.93963,2.84576,1.57163,0.000171454,0.000171454,0.000171454
84,1146.9,1.87392,2.10676,1.29583,0.68992,0.19408,0.25924,0.17149,1.84961,2.80174,1.49231,0.000164416,0.000164416,0.000164416
85,1162.34,1.7813,2.1824,1.48484,0.68992,0.19408,0.25924,0.17149,1.84961,2.80174,1.49231,0.000157158,0.000157158,0.000157158
86,1175.12,1.76876,1.92834,1.40806,0.68992,0.19408,0.25924,0.17149,1.84961,2.80174,1.49231,0.000149679,0.000149679,0.000149679
87,1185.03,1.7549,2.0259,1.35874,0.68992,0.19408,0.25924,0.17149,1.84961,2.80174,1.49231,0.000141981,0.000141981,0.000141981
88,1196.99,1.74804,1.96741,1.44748,0.87895,0.18747,0.29574,0.17297,1.7925,2.7063,1.44409,0.000134063,0.000134063,0.000134063
89,1207.51,1.87035,2.03592,1.37071,0.67136,0.19408,0.27396,0.17445,1.7925,2.7063,1.44409,0.000125925,0.000125925,0.000125925
90,1216.54,1.85625,1.99389,1.32594,0.67136,0.19408,0.27396,0.17445,1.7925,2.7063,1.44409,0.000117567,0.000117567,0.000117567
91,1228.58,1.6163,1.94456,1.44311,0.67136,0.19408,0.27396,0.17445,1.7925,2.7063,1.44409,0.000108989,0.000108989,0.000108989
92,1242.88,1.78632,2.02318,1.42691,0.9414,0.125,0.18877,0.13358,1.75117,2.61258,1.44008,0.000100191,0.000100191,0.000100191
93,1256.89,1.73592,2.07515,1.30954,0.67677,0.26236,0.28532,0.2055,1.75117,2.61258,1.44008,9.11731e-05,9.11731e-05,9.11731e-05
94,1268.55,1.64276,2.1075,1.34334,0.67677,0.26236,0.28532,0.2055,1.75117,2.61258,1.44008,8.19351e-05,8.19351e-05,8.19351e-05
95,1279.57,1.69932,2.10427,1.37768,0.67677,0.26236,0.28532,0.2055,1.75117,2.61258,1.44008,7.24772e-05,7.24772e-05,7.24772e-05
96,1290.93,1.81391,2.1859,1.38717,0.67591,0.20711,0.24132,0.16197,1.73759,2.52602,1.43489,6.27993e-05,6.27993e-05,6.27993e-05
97,1303.65,1.64959,1.98883,1.33707,0.69209,0.26874,0.30361,0.21001,1.73759,2.52602,1.43489,5.29014e-05,5.29014e-05,5.29014e-05
98,1313.77,1.65893,2.08008,1.41702,0.69209,0.26874,0.30361,0.21001,1.73759,2.52602,1.43489,4.27835e-05,4.27835e-05,4.27835e-05
99,1322.32,1.70053,2.12373,1.41319,0.69209,0.26874,0.30361,0.21001,1.73759,2.52602,1.43489,3.24456e-05,3.24456e-05,3.24456e-05
100,1333.61,1.67546,1.98161,1.44723,0.67905,0.21368,0.25029,0.17368,1.72957,2.46252,1.43416,2.18878e-05,2.18878e-05,2.18878e-05
