epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,214.9,1.95807,2.92055,1.48677,0.01883,0.22368,0.06035,0.04024,2.31015,3.7822,1.6296,0.00027436,0.00027436,0.00027436
45,221.124,1.94696,2.71323,1.53915,0.01908,0.23026,0.0707,0.04299,2.09637,3.69592,1.60231,0.000275901,0.000275901,0.000275901
46,226.38,1.82234,2.72373,1.51764,0.01908,0.23026,0.0707,0.04299,2.09637,3.69592,1.60231,0.000277222,0.000277222,0.000277222
47,232.995,1.97078,2.76254,1.47244,0.02118,0.30592,0.10883,0.05395,2.02723,3.59582,1.5791,0.000278323,0.000278323,0.000278323
48,238.708,2.00829,2.74509,1.46243,0.02118,0.30592,0.10883,0.05395,2.02723,3.59582,1.5791,0.000279204,0.000279204,0.000279204
49,251.557,1.96194,2.56302,1.49477,0.02191,0.32566,0.1161,0.06316,2.02381,3.48833,1.56277,0.000279865,0.000279865,0.000279865
50,259.886,2.23312,2.51116,1.39942,0.02191,0.32566,0.1161,0.06316,2.02381,3.48833,1.56277,0.000280306,0.000280306,0.000280306
51,271.113,2.07663,2.56541,1.47693,0.02407,0.40789,0.1202,0.08392,2.02324,3.39807,1.55897,0.000280527,0.000280527,0.000280527
52,278.508,1.99339,2.34073,1.44251,0.02407,0.40789,0.1202,0.08392,2.02324,3.39807,1.55897,0.000280529,0.000280529,0.000280529
53,291.5,2.17158,2.51078,1.45457,0.02407,0.40789,0.1202,0.08392,2.02324,3.39807,1.55897,0.00028031,0.00028031,0.00028031
54,310.601,1.98904,2.39013,1.43921,0.02515,0.42763,0.16764,0.12322,2.08264,3.32621,1.59772,0.000279871,0.000279871,0.000279871
55,318.164,1.85183,2.34165,1.46479,0.02515,0.42763,0.16764,0.12322,2.08264,3.32621,1.59772,0.000279212,0.000279212,0.000279212
56,324.066,2.0566,2.38335,1.42041,0.02515,0.42763,0.16764,0.12322,2.08264,3.32621,1.59772,0.000278333,0.000278333,0.000278333
57,330.716,1.98027,2.39087,1.43666,0.02636,0.45395,0.17897,0.13037,2.22192,3.24846,1.57644,0.000277234,0.000277234,0.000277234
58,336.205,1.96092,2.38791,1.42683,0.02636,0.45395,0.17897,0.13037,2.22192,3.24846,1.57644,0.000275916,0.000275916,0.000275916
59,342.195,1.8973,2.27579,1.39592,0.02636,0.45395,0.17897,0.13037,2.22192,3.24846,1.57644,0.000274377,0.000274377,0.000274377
60,349.868,1.9474,2.39431,1.46154,0.02727,0.49342,0.18297,0.13083,2.13659,3.1026,1.5264,0.000272618,0.000272618,0.000272618
61,356.039,1.80947,2.40416,1.42782,0.02727,0.49342,0.18297,0.13083,2.13659,3.1026,1.5264,0.00027064,0.00027064,0.00027064
62,362.271,1.86858,2.42381,1.3793,0.02727,0.49342,0.18297,0.13083,2.13659,3.1026,1.5264,0.000268441,0.000268441,0.000268441
63,369.307,1.89661,2.35464,1.36815,0.02654,0.5,0.28164,0.19567,1.97968,2.99933,1.49007,0.000266022,0.000266022,0.000266022
64,374.358,1.81941,2.42152,1.41591,0.02654,0.5,0.28164,0.19567,1.97968,2.99933,1.49007,0.000263384,0.000263384,0.000263384
65,379.162,1.82773,2.25952,1.43728,0.02654,0.5,0.28164,0.19567,1.97968,2.99933,1.49007,0.000260525,0.000260525,0.000260525
66,386.27,1.94599,2.36256,1.3753,0.0259,0.5,0.31315,0.18776,1.85447,2.94654,1.44856,0.000257446,0.000257446,0.000257446
67,392.165,1.86524,2.15937,1.41724,0.0259,0.5,0.31315,0.18776,1.85447,2.94654,1.44856,0.000254148,0.000254148,0.000254148
68,397.614,2.07552,2.23601,1.38074,0.0259,0.5,0.31315,0.18776,1.85447,2.94654,1.44856,0.000250629,0.000250629,0.000250629
69,404.172,1.96924,2.308,1.46456,0.66215,0.36857,0.31521,0.195,1.83687,2.88471,1.45578,0.000246891,0.000246891,0.000246891
70,409.528,1.72599,2.18712,1.43093,0.66215,0.36857,0.31521,0.195,1.83687,2.88471,1.45578,0.000242932,0.000242932,0.000242932
71,415.437,1.71428,2.12105,1.41708,0.66215,0.36857,0.31521,0.195,1.83687,2.88471,1.45578,0.000238754,0.000238754,0.000238754
72,424.257,1.94448,2.14997,1.43627,0.7221,0.30263,0.30128,0.19245,1.79994,2.84768,1.47869,0.000234355,0.000234355,0.000234355
73,430.861,1.75193,2.0635,1.38402,0.7221,0.30263,0.30128,0.19245,1.79994,2.84768,1.47869,0.000229737,0.000229737,0.000229737
74,437.933,1.84416,2.12046,1.40451,0.7221,0.30263,0.30128,0.19245,1.79994,2.84768,1.47869,0.000224899,0.000224899,0.000224899
75,447.782,1.80825,2.19263,1.38127,0.70812,0.13158,0.21522,0.14441,1.92451,2.88742,1.5298,0.00021984,0.00021984,0.00021984
76,455.13,1.75763,2.17329,1.39269,0.7352,0.19408,0.28775,0.19783,1.92451,2.88742,1.5298,0.000214562,0.000214562,0.000214562
77,461.977,1.80893,2.13346,1.31551,0.7352,0.19408,0.28775,0.19783,1.92451,2.88742,1.5298,0.000209064,0.000209064,0.000209064
78,472.672,1.74553,2.06932,1.46415,1,0.16316,0.2685,0.17794,1.98297,2.85682,1.57096,0.000203345,0.000203345,0.000203345
79,484.977,1.95819,2.09891,1.39145,0.93668,0.1875,0.27803,0.20101,1.98297,2.85682,1.57096,0.000197407,0.000197407,0.000197407
80,493.886,1.66292,1.98753,1.378,0.93668,0.1875,0.27803,0.20101,1.98297,2.85682,1.57096,0.000191249,0.000191249,0.000191249
81,502.426,1.87973,2.12848,1.35156,0.88945,0.125,0.20782,0.13626,1.93963,2.84576,1.57163,0.00018487,0.00018487,0.00018487
82,509.3,1.89633,2.02838,1.32915,0.90227,0.1875,0.26201,0.17938,1.93963,2.84576,1.57163,0.000178272,0.000178272,0.000178272
83,515.186,1.74489,2.03032,1.43895,0.90227,0.1875,0.26201,0.17938,1.93963,2.84576,1.57163,0.000171454,0.000171454,0.000171454
84,523.177,1.87392,2.10676,1.29583,0.68992,0.19408,0.25924,0.17149,1.84961,2.80174,1.49231,0.000164416,0.000164416,0.000164416
85,529.856,1.7813,2.1824,1.48484,0.68992,0.19408,0.25924,0.17149,1.84961,2.80174,1.49231,0.000157158,0.000157158,0.000157158
86,536.981,1.76876,1.92834,1.40806,0.68992,0.19408,0.25924,0.17149,1.84961,2.80174,1.49231,0.000149679,0.000149679,0.000149679
87,543.106,1.7549,2.0259,1.35874,0.68992,0.19408,0.25924,0.17149,1.84961,2.80174,1.49231,0.000141981,0.000141981,0.000141981
88,553.938,1.74804,1.96741,1.44748,0.87895,0.18747,0.29574,0.17297,1.7925,2.7063,1.44409,0.000134063,0.000134063,0.000134063
89,561.873,1.87035,2.03592,1.37071,0.67136,0.19408,0.27396,0.17445,1.7925,2.7063,1.44409,0.000125925,0.000125925,0.000125925
90,568.644,1.85625,1.99389,1.32594,0.67136,0.19408,0.27396,0.17445,1.7925,2.7063,1.44409,0.000117567,0.000117567,0.000117567
91,575.482,1.6163,1.94456,1.44311,0.67136,0.19408,0.27396,0.17445,1.7925,2.7063,1.44409,0.000108989,0.000108989,0.000108989
92,585.619,1.78632,2.02318,1.42691,0.90909,0.20122,0.30099,0.20105,1.75117,2.61258,1.44008,0.000100191,0.000100191,0.000100191
93,597.058,1.73592,2.07515,1.30954,0.67677,0.26236,0.28532,0.2055,1.75117,2.61258,1.44008,9.11731e-05,9.11731e-05,9.11731e-05
94,604.965,1.64276,2.1075,1.34334,0.67677,0.26236,0.28532,0.2055,1.75117,2.61258,1.44008,8.19351e-05,8.19351e-05,8.19351e-05
95,612.712,1.69932,2.10427,1.37768,0.67677,0.26236,0.28532,0.2055,1.75117,2.61258,1.44008,7.24772e-05,7.24772e-05,7.24772e-05
96,622.217,1.81391,2.1859,1.38717,0.91666,0.21249,0.31118,0.19923,1.73759,2.52602,1.43489,6.27993e-05,6.27993e-05,6.27993e-05
97,647.523,1.64959,1.98883,1.33707,0.69209,0.26874,0.30361,0.21001,1.73759,2.52602,1.43489,5.29014e-05,5.29014e-05,5.29014e-05
98,656.047,1.65893,2.08008,1.41702,0.69209,0.26874,0.30361,0.21001,1.73759,2.52602,1.43489,4.27835e-05,4.27835e-05,4.27835e-05
99,663.366,1.70053,2.12373,1.41319,0.69209,0.26874,0.30361,0.21001,1.73759,2.52602,1.43489,3.24456e-05,3.24456e-05,3.24456e-05
100,672.938,1.67546,1.98161,1.44723,0.85124,0.21382,0.32544,0.21306,1.72957,2.46252,1.43416,2.18878e-05,2.18878e-05,2.18878e-05
